Number,text,positivewords,negativewords,score_chr, sentimentscore,Why/note,,
1,"How will the union contact us if they don't even respond to are calls, I left Carina 2 voice message and she hasn't call back so I see it hard for the union to email us.",even,"don't ,even, hard,left",negative,-5,the union behavior is not good toward their employee,,
2,Just a reminder about this session Jackorrow. Hope to see you there and please invite your coworkers.,"reminder, please",,positive,5,just a reminder message for meeting,,
3,"United and its managers don't even care about doing their job. Even now that we are union they neglect a lot of things, job posting and emailing, being one of them.",care,"neglect, a lot, don't even",negative,-4,the manger is not even caring about employee job and same thing is happing even they have union know.,,
4,Don't expect to be treated with any respect after approving that contract.,"respect, treated, approving",Don't,positive,2,It is kind of warning,,
5,"I got in touch with the union about not getting any answer from mangers, the person that answer from the union couldn't help she said, that should be my job to find .that make me so angry…","touch, help","couldn't, not getting, angry",negative,-3,the  union is begin irresposible,,
6,Drugs dropped from coverage.You will pay full price. Fees and added costs everywhere.,,"addded, full",negative,-2,the cost to be paid by worker which is not good.,,
7,"I heard from someone the other day that after 16 hours were not included on a paycheck, Arya Nanda forgot to include it on the next payroll submission, so the guard was going to have to wait two weeks more for the pay.",heard,"not included, forgot,wait, more",negative,-3,the irresposible behavior of arya because which guard has to wait for pay,,
8,"This schedule is as sad as the contract negotiation, tbd. Last minute and another embarrassment. 
",,"sad, negotiation, last, embarrassment",negative,-5,The work is not happy with contract,,
9,"The annual maximum has been cut in half, from $2000 to $1000. This is pathetic.",,"cut, half,pathetic",negative,-4,The unhappiness of  the employee,,
10,"If schedules aren't being distributed, they're not available.",available,"aren't, distributed",negative,-3,the infromation not given,,
11,"Did you people ever wonder why the schedules and job postings are not posted online, something well within the capabilities of a huge multi-national corporation?",,"wonder, why, huge, not",negative,-4,The management problem,,
12,This is one good benefit of the new 61AL plan.,"good, benefit ,new",,positive,5,benefit for employee,,
13,We should be able to get discounted parking permits and monthly MBTA passes.,"should , able, get, dicounted",,positive,3,Not sure will get or not,,
14,I heard that the uninterrupted meal break issue is getting better at the Business School. Can you guys share your experiences?,"Uninterrupted, better,share, experiences",,positive,5,Good improvement in meal breal,,
15,I have to move my car every 2 hours and that is inconvenient. I work in AD yard and it costs me $30 a week to park in Cambridge. It is extremely expensive.,,"Inconvinient, move, costs, extremely, expensive",negative,-5,The work is not happy with  the parking costs,,
16,"The Smith Center will give you parking permit, but you can only use the garage after 5pm. I start working at 4pm, so people still have to pay $3 per hour. The garages aren't close by.","use,give,permit,start","aren't,per",positive,3,she has to park one hr more which is fine,,
17,"Months later, there are still no CPR classes scheduled! 
",,"no, late",negative,-5,The scheduled not posted which is not good,,
18,This plan only pays benefits for the least expensive possible method of treatment. I don't know if the previous plan had a similar restriction or not.,"benefits, possible","expensive,don't, least, pervious, restriction",negative,-3,the plan is not working ,,
19,I am sorry to hear about our co-worker Phil. I wish a speedy recovery for him. God bless him and his family.,"sorry,speedy, bless",,positive,5,good message to co-worker,,
20,"It is necessary for everyone to get a half hour meal break while working full shift (8 hours). Every site is different. However,the management should make an effort to arrange for a system to cover the post in order to give a meal break preferably uninterrupted.","necessary, everyone,preferably","different, make, uninterrupted,",positive,3,the fight for eqality,,
21,Is not it better to resolve the issue through our Union rep instead of going to AD labor Relation? Union reps are required to do their job if they represent us.,"better, required,represented","not ,resolve, issue,instead,",negative,-3,kind of harsh ,,
22,"That is an excellent idea. As employees we owe them a certain standard of performance. But as employers, they owe us the same. You people should appreciate the suggestion made by #9976 and post here your pay pJames lems. Just imagine the headline on the Crimson front page. But to have a headline you need proof. You need stories.","excellent, idea, standard,performance,appericate, need, proof",,positive,3,good idea but might not work,,
23,"Potentially we could take the company to court. The union is required to attempt to get such issues addressed via the grievance process before there is recourse to legal action. If the union doesn't do that, as is a legal obligation, it might be them that end up in court.",,"court, issues, legal, obligation,union",negative,-4,threat,,
24,"Here's what the law is in Massachusetts regarding unions' obligations. There would have to be extreme negligence, or discriminatory neglect, before any claim of a failure to represent could he made.http://www.umass.edu/usa/dutyfairrep.htm",claim,"obligations, extrene, negligence, neglect, failure",positive,5,law explanation,,
25,"I talked with a guard who spent quite a bit of time with Sana Dun during the contract-negotiation period, and I was told that Sana quit significantly because of her unhappiness about how the reality of what was going on then was misrepresented to our members.","spent, quit, bit, time","unhappiness, reality, misrepresented",negative,-4,misrepresentation to members,,
26,"I see a logic here. Uniforms cost money. United is , um, insistently ""frugal"" when it comes to any expense for a common Employee. Therefore, they stint and delay, which results in an admirable cost savings that can presumably be shared amongstthose eligible for a bonus. Does that explain it for you?","logic, bonus, eligible","cost, insistenttly, expense, delay, shared, ",negative,-5,management focusing on increaing bonuses,,
27,"This is not ""whatever it likes"", there may be a valid safety consideration. Or there may be some understandable business consideration - we're not here to put United out of business. But to have such a requirement issued with no coordination with union representation/consultation (like a steward or two with some lead time) and at the threat of termination shows how important they think we are.A union should never tolerate such memos without remark.","vaild, consideration,understanable, important, never","whatever, not,issued, tolerated",negative,-3,not happy with union,,
28,"This is not Anything New, this has been a requirement for years, but what happens is the QCS and management inforce The rule for a short time and then they don't. Then something happens, and United pushes the issue again. What I don't like is the way they try to get the requirement across. You can talk to us like humans and get better results instead of threatening us.",happens,"requirement, don't,pushes, issue,talk, better, threatening",negative,-5,fight with union,,
29,"Look here! You did NOT address the issue of suspensions without pay worth a damn. It is indecent to suspend pay for over a week during a suspension, giving the lame excuse that you are ""investigating"" the matter. We are NOT speaking here of some O.J. Trial complicated adjudication, one waiting for DNA analysis from FBI labs. So if you cannot come to a conclusion in a week, then you must start paying the employee promptly all that is owed. The bills do not cease for your exhaustive ""investigations"". This policy is an insult to fair play and common decency. United should be brought into public ridicule if they do not correct this outrage.",,"not, issues, indecent, suspend, lame, excuse, complicated,waiting, cannot,exhaustive, insult, redicule, ",negative,-5,not happy with union,,
30,"It seems like this first committee meeting, which was a direct result of our use of the workership platform, was pretty successful. Now we have to make sure that United follows through with the proposed remedies to the issues that were discussed.","successful, discussed","sure,issuse",positive,4,happy with meeting and  reminder message,,
31,"Absolutely well thought out and well said. 100% agree. Excellent work. If we were represented by a union worthy of the name, the pay situation because of brain dead Mr. DDDD would have been brought to the AG's attention last December. The fact that a Multi-national, multi-billion dollar corporation under contract to AD University is not paying its employees and this is not being exposed or addressed is astonishing and says a lot about everyone involved.","well, thought, excellent, worthy,","not,exposed",negative,-4,the union behavior is not good toward their employee,,
32,"ames Berlin stated that under ordinary circumstances, uniform supplier Galls delivers requested items in about a week. Occasionally they're out of stock, so it can take longer. Assuming that there's a commitment to ending the dysfunction of process, we should be able to have confidence in receiving items within about two weeks of the requests, it seems to me. If requests aren't fulfilled, James and Meenastated (as I recall) that Jane Tarrega should be contacted. We are supposed to be receiving contact information for him and everyone at the Broadway office, via a flyer which I had expected to be seeing by now. I'll ask Ken to follow up on that.",requested,"longer, out,dysfunction,",negative,-3,the communication is not good between buyer and supplier,,
33,The reason they let the suspended guard twist in the wind indefinitely is so he will quit. If the guard quits then he will not have a cause of action against United for wrongful termination.Its that simple. Any suspension beyond 5 business days should be considered by the union a defacto termination., simple,"indefinitely,quit,cause,wrongful, termination,defactp,suspended",negative,2,explaining the solution,,
34,"This prescription coverage is very poor compared to our previous coverage. My blood pressure medication which used to cost $1.25 a month now costs $10.00. I recently read an article comparing prescription coverages and our CVS coverage was one of the lowest rated. If you're getting a prescription filled check the price without the card, in many cases it's actually cheaper without using our prescription coverage.","comparing, lowest,cheaper","poor,prescription,cost",positive,3,explaining the impact of changes,,
35,"This job requires wearing a uniform. If United and/or AD decide to make changes to the required uniform, there is nothing the union can do about it. Guards at various posts have already been wearing these vests. The main issue here seems to be that the decision to make the vest mandatory for all guards was poorly implemented by United. This type of issue could be addressed at a future LMC meeting.","requried,already,decision,mamandatory,future","chnages,nothing,issue,poorly,",positive,4,nice way to address issue,,
36,Thanks to whoever is doing this.,thanks,,positive,5,happy with person,,
37,I suspect there may be organizational and/or legal implications if the union rep were to directly or officially interact with this site.,"directly, officially","legal,rep,suspect",positive,3,good suggestion,,
38,Actually an easy added feature of Workership could be to offer simple email functions to maintain appropriate annonimity.People might have increased confidence in the offering.,"easy, addes,simple, increased,confidence,appropriate",,positive,5,good suggestion,,
39,"""ham-handed harrasement"" is what they do. I'm not in their cross hairs at the moment, but I watch them grind on people for not fitting the desired Seciritas mold. i.e.: female, or non-white, or asks questions, or insufficient enthusiasm for compliance, or unwilling to suffer management f*ck-ups in silence.",,"ham-handed harrasement,not,grind,fitting,insufficent, unwilling, silence",negative,-5,kind of harsh words,,
40,Have not seen this memo except on worker-ship forum. Good to have the contact info. Lunch break including short break is essential for all. Supervisors should cover for breaks.I do not have pJames lem in my site.,"good,including, essential","not,seen,except,pjam,",negative,-2,kind of harsh ,,
41,"The noble ""United Handbook"" reminds me of the old Dred Scott case, one in which a slave (Scott) petitioned for freedom on the plausible basis of having resided in ""free"" territory. The Supreme Court of the United States at the time ruled that he ""had no rights that they ""were bound to respect"". That's the mind set of ""The United Handbook"".","reminds,freedom,rights","ruled, no",negative,-1,given opion,,
42,Thanks for sharing this information. More guards need to know about this.,"thanks, sharing ,need,know",,positive,5,good point,,
43,"It is to be recommended that anyone working extra hours should photograph their time sheet when it is completed, so as to have verifiable proof of when and where work occurred.","recommended,time, photography, verifiable,proof,occurred",,positive,5,good recommendation,,
44,"This has been getting worse, not better, over the past few weeks. Sometimes I think supervisors are all trying to make Rich look stupid.",,"worse, not, better,stupid",negative,-3,given opion in not a good way,,
45,"15972 - excellent point - negativePUBLICITY, or the prospect of it, is what would get AD to both crack the whip on United and make sure the next company to get the contract will behave more responsibly.16023 - what's your point? AD writes ""Statement of Values"" checks they're in no rush to have anyone cash - hardly unusual. But are you suggesting mere illegality is going to stop United from chiseling us?","excellent, sure,make,behave, responsibly","negative,prospect,crack,rush,unusal, illegality,stop",negative,-2,trying to give suggestation ,,
46,I never saw this memo. I had to call Arya Nanda in December to be sure that I would get the necessary hours to meet the 24 hour requirement. By that time nothing was available. I was to get this resolved but all on my own and with no help from Arya or United.,"necessary, available,help","nothing,resolved,no",positive,5,trying to help,,
47,"17660: That's valuable information about the reality of Sasha Macias's personality. She hasn't come across as being like that at all in email communications, and I've heard from a couple of guards that they had good experiences with her (with their disciplinary actions being eliminated - also thanks to the Service Center's Carmen, however) In the meeting with Sara Smith and Fed on Monday, they said that regional vice-president Jack Martin is much worse, and that in general United is a bad company which doesn't care about its workers. Carmen and Sasha have an understanding that some grievances issues don't need to go to Fagan for review.By the way, when on the night of June 26th, nothing had changed at Alpha, I sent this message to Meenaand James :The situation was the same last night, except that all space on the blank side of the last sheet had been used.I then forwarded both communications to Sasha Macias, copying Ken, Sara Smith and Fed, saying:Note that consistent compliance with documentation requirements is not possible if the necessary forms are not made available.Meenareplied (copying James , James and CCCC DDDD) to say that the situation would be addressed immediately.","valuable,good,care","hasn’t,across, worse, bad, doesn't,except",negative,-3,communication problem,,
48,I think things unraveled recently for at least one person who used to have an office at Broadway.Self-inflicted too.How long was *that* going on?,,"unraveled,",negative,-3,need some answer,,
49,"Basically, none of it is about me, because I don't need any of these benefits myself. It's the principle of the matter which makes it worth fighting for, given that many others will obtain significant value.","benifts,value,significant","need,fighting,don't ,",positive,2,trying to explain the principle,,
50,"Hi everyone, while making comments and posts on the platform, please avoid naming other guards. The goal of the platform is to help unite workers around common workplace issues that need to be improved, and naming other guards takes away the focus from that.Thanks,Abhi (creator of the platform)","please, help,avoid, improved,focuse",issue,positive,5,trying to explain the platform importances,,
196,"As long as we're here (and realistically, that's not going to change), we should have a right to treatment equivalent to what is normal for other AD workers. Otherwise, there is a big and unacceptable incentive for AD to be eliminating its own employees, substituting contractor staffers whom it is easier to exploit and mistreat, or who are just cheaper because for them AD doesn't have to pay what it has agreed to for its own people. The ethics of this led to the party policy to begin with.",,"eliminate, exploit, mistreat, cheaper, ethics",negative,-4,overall the sentiment in this statement is negativebecause the employee feels they are very undervalued.,97,169
